,cnn,encoder,fcn,mcdcnn,mcnn,mlp,resnet,tlenet,twiesn
ArabicDigits,95.7681818181818,98.07272727272726,99.42272727272726,95.88181818181818,10.0,96.91363636363634,99.55454545454545,10.0,85.27727272727273
AUSLAN,72.55438596491229,93.83859649122807,97.54385964912282,85.37543859649122,1.0526315789473601,93.25614035087719,97.39649122807019,1.0526315789473601,72.40701754385965
CharacterTrajectories,95.99687255668489,97.06020328381548,98.98358092259578,93.82329945269741,5.3557466770914735,96.89601250977326,99.04222048475371,6.68491008600469,92.03674745895229
CMUsubject16,97.58620689655173,98.27586206896551,100.0,51.37931034482758,53.10344827586208,59.999999999999986,99.6551724137931,51.03448275862069,89.3103448275862
ECG,84.1,87.20000000000002,87.20000000000002,50.0,67.0,74.80000000000001,86.7,67.0,73.7
JapaneseVowels,95.64864864864866,97.56756756756756,99.2972972972973,94.43243243243244,9.243243243243239,97.56756756756758,99.16216216216215,23.783783783783775,96.54054054054055
KickvsPunch,61.999999999999986,61.0,54.0,55.99999999999999,53.99999999999999,61.0,51.0,50.0,67.0
Libras,63.72222222222222,78.33333333333333,96.38888888888889,65.05555555555557,6.666666666666661,78.0,95.44444444444444,6.666666666666661,79.44444444444446
NetFlow,88.95131086142322,77.69662921348315,89.06367041198502,62.958801498127336,77.90262172284645,55.037453183520604,62.715355805243455,72.32209737827716,94.4943820224719
UWave,85.8765778401122,90.76203833567087,93.42683496961197,84.50210378681626,12.501168770453477,90.05843852267415,92.58532024310423,12.50584385226741,75.44179523141655
Wafer,94.81026785714285,98.56026785714285,98.23660714285714,65.75892857142858,89.39732142857142,89.39732142857142,98.85044642857143,89.39732142857142,94.89955357142857
WalkvsRun,100.0,100.0,100.0,45.0,75.0,70.0,100.0,60.0,94.375
