,cnn,encoder,fcn,mcdcnn,mcnn,mlp,resnet,tlenet,twiesn
ArabicDigits,95.83800243137051,98.09536779507133,99.42823687621886,95.94752965706961,0.9999999999999999,96.97051382593872,99.55986240156246,0.9999999999999999,86.15581749388278
AUSLAN,76.11845234879443,94.71673183525546,97.91856717922789,87.87398574764268,0.011080332409969999,94.40758036831974,97.79474353798324,0.011080332409969999,75.0040982476351
CharacterTrajectories,96.17926845142429,97.10877204174162,98.85980271710831,93.86460989807603,0.267787333854569,96.97957217734509,98.91128143507451,0.33424550430023,92.94034767702944
CMUsubject16,97.5,98.23145604395606,100.0,30.597290640394082,26.551724137931032,39.45553539019963,99.70588235294117,25.517241379310345,89.58520890873831
ECG,81.86647851248871,85.55097328915367,85.31277681167936,25.0,33.5,65.05146790081213,84.9062677122653,33.5,70.95626541317901
JapaneseVowels,95.56283312713025,97.32570473472926,99.1449378083207,94.22152635252259,1.0270270270270259,97.32673099515247,98.99562471965959,2.6426426426426404,96.7483278749396
KickvsPunch,68.19047619047619,62.39285714285714,52.125,27.999999999999996,26.999999999999996,58.21428571428571,55.19444444444444,25.0,67.97619047619048
Libras,64.14855307231468,79.11619535721701,96.68664668664668,67.16915638541026,0.4444444444444401,79.66301208824429,95.83798423798424,0.4444444444444401,81.62453525383597
NetFlow,84.6075855510929,42.78201729139461,85.76531354816356,45.800950100250816,38.951310861423224,34.93049547206432,69.33462575335774,36.16104868913858,94.1917615180891
UWave,86.19149852540555,90.98883452961056,93.42108455692706,85.05300486323833,1.5626460963066782,90.699380892855,92.58769941715443,1.56323048153342,77.37627201853297
Wafer,87.8880795757303,98.27110706079601,96.08697215264755,32.87946428571429,44.69866071428573,44.69866071428573,97.94915607252635,44.69866071428573,97.20382474665982
WalkvsRun,100.0,100.0,100.0,22.5,37.5,35.0,100.0,30.0,93.04545454545455
