,cnn,encoder,fcn,mcdcnn,mcnn,mlp,resnet,tlenet,twiesn
ArabicDigits,95.7681818181818,98.07272727272726,99.42272727272726,95.88181818181818,10.0,96.91363636363634,99.55454545454545,10.0,85.27727272727273
AUSLAN,72.55438596491227,93.83859649122807,97.54385964912282,85.37543859649122,1.0526315789473601,93.25614035087722,97.39649122807019,1.0526315789473601,72.40701754385965
CharacterTrajectories,95.65903951384996,96.7721442760349,98.86436745660777,93.4827171819831,5.0,96.62206597221484,98.91336186822507,5.0,91.44104675058472
CMUsubject16,97.8125,98.36538461538463,100.0,50.31250000000001,50.0,58.12500000000001,99.61538461538461,50.0,89.23076923076924
ECG,83.13658977838084,85.60379918588875,86.52645861601084,50.0,50.0,72.27498869289914,85.15377657168702,50.0,66.53324287652646
JapaneseVowels,96.20648007700288,97.89176630439142,99.27897944966911,94.26414630975252,11.111111111111112,97.70738169876103,99.23448412297132,11.111111111111112,97.20606445834477
KickvsPunch,65.83333333333334,62.5,55.00000000000001,50.0,50.0,61.24999999999999,55.00000000000001,50.0,68.33333333333333
Libras,63.72222222222222,78.33333333333333,96.38888888888889,65.05555555555557,6.666666666666661,77.99999999999999,95.44444444444444,6.666666666666661,79.44444444444446
NetFlow,82.58841264667535,50.41415417209908,81.05178455019558,50.2128829856584,50.0,50.77452737940027,66.20477509778357,50.0,89.48500651890483
UWave,85.87712643074661,90.76174787356925,93.42685690783718,84.50232769785431,12.5,90.05877874619343,92.58500035002974,12.5,75.44443715215795
Wafer,83.41251067744267,94.04553518628032,94.56035219133977,50.0,50.0,50.0,95.97062881923911,50.0,75.99375780274657
WalkvsRun,100.0,100.0,100.0,50.0,50.0,50.0,100.0,50.0,95.41666666666666
